CODIGO;DESCRICAO;  CUSTO   
301269; OCRE MONO LAM 104-C ; 29,57 
301270; VERDE MONO LAM 577-C ; 18,52 
301271; OURO LAM GRAN PLUS-C  193 ; 19,42 
301272; LARANJA MONO LAM GUABI LIGHT-C ; 27,76 
301273; LILAS MONO LAM TRAÇO CONTATO  15/03 ; 30,91 
301274; LILAS MONO LAM RETÍCULA CONTATO  15/04 ; 32,93 
301275; AZUL MONO LAM CONTATO ; 34,57 
301276; AMARELO MONO LAM PERSONAL ; 20,10 
301277; VERDE MONO LAM  3248-C ; 21,08 
301278; OCRE MONO LAM 457-C ; 24,74 
301279; VERDE MONO LAM 3278-C ; 24,34 
301280; AZUL MONO LAM BIJU (P295) ; 26,77 
301281; VERDE MONO EXTERNO DIA PAN-C ; 22,42 
301282; VERDE LAM ALLEXIS ADULTOS (P330) ; 20,15 
301283; AZUL MONO LAM 270-C 27/8 ; 17,89 
301284; VERMELHO MONO LAM 7418-C ; 20,03 
301285; VERDE LAM ALLEXIS FILHOTES (P3278) ; 20,50 
301286; AZUL MONO LAM 539-C  24 ; 26,82 
301287; MARROM MONO LAM 7574-C ; 26,62 
301288; CINZA MONO LAM 440-C ; 19,92 
301289; ROSA MONO LAM 241-C   12 ; 23,97 
301290; MARROM MONO LAM 7610-C 9/28 ; 23,53 
301291; MARROM MONO LAM 7524-C ; 26,06 
301292; AZUL MONO LAM 3135-C  17/25 ; 25,69 
301293; AZUL MONO LAM CARINHO-C ; 16,56 
301294; LILAS MONO EXTERNO 7669-C ; 27,76 
301295; AZUL MONO LAM 7455-C 10/25 ; 23,23 
301296; VERDE MONO LAM 344-C  11/35 ; 21,67 
301297; LILAS MONO LAM 5275-C  15/39 ; 22,96 
301298; VERDE MONO LAM 7472-C ; 19,72 
301299; LILAS MONO LAM 687-C ; 18,15 
301300; LARANJA LAM 1395-C  24/05 ; 22,35 
301301; AZUL MONO LAM ESCURO S.SOY-C ; 29,92 
301302; AZUL MONO LAM CLARO S.SOY-C ; 24,89 
301303; VERMELHO LAM PERUCHI-C 12/7 ; 26,73 
301304; AZUL MONO LAM 533-C 6/40  2 BOMBAS ; 26,29 
301305; LARANJA MONO LAM 163-C ; 22,09 
301306; MARROM MONO LAM 7519-C ; 23,56 
301307; CINZA MONO EXTERNO COOL GRAY 4-C ; 19,26 
301308; VERDE MONO EXTERNO 7488-C ; 31,33 
301309; LARANJA MONO LAM 164-C 274 ; 21,09 
301310; OCRE MONO LAM 581-C ; 26,05 
301311; CINZA MONO LAM COOL GRAY 2-C ; 20,48 
301312; AMARELO MONO LAM 1245-C  ; 23,28 
301313; AZUL PE TRANSP.2728-C HUBER 17/27 ; 34,28 
301314; OURO MONO EXTERNO ARROZ SANTOS-C ; 21,57 
301315; AZUL LAM PIEMONTE(P549) ; 19,99 
301316; VERMELHO LAM 7426-C ; 23,23 
301317; VERDE EXTERNO ARROZ SANTOS-C ; 23,23 
301318; CINZA LAM COOL GRAY 9-C   ; 21,12 
301319; MARROM MONO LAM 7411-C   ; 22,44 
301320; MARROM  LAM 1675-C   26/23 ; 25,74 
301321; VERDE MONO LAM 567-C  12/23 ; 24,80 
301322; ROSA MONO LAM 190-C  17/24 ; 25,61 
301323; AZUL MONO LAM GB ESCURO -C ; 21,79 
301324; LARANJA LAM DOG CHOICE (P021) ; 30,67 
301325; AZUL MONO LAM GB CLARO - C ; 17,39 
301326; LILAS MONO LAM CROC BABY-C ; 33,64 
301327; VERDE MONO LAM 3425-C  11/27 ; 23,26 
301328; VERDE MONO LAM DOG CHOICE (P355) ; 26,62 
301329; OCRE MONO LAM 1255-C 11/34 ; 25,25 
301330; VERMELHO MONO LAM 7622-C  240 ; 27,98 
301331; VERDE MONO LAM LENÇO HIGEMEX-C ; 23,08 
301332; VERDE MONO LAM BRAIN-C ; 22,17 
301333; AZUL MONO LAM POTEITOS-C ; 38,42 
301334; VERMELHO MONO EXTERNO ZAELI-C ; 22,72 
301335; AZUL MONO EXTERNO ZAELI-C ; 28,96 
301336; MARROM LAM 7575-C ; 26,76 
301337; LILAS MONO LAM 689-C ; 24,74 
301338; LARANJA MONO LAM 167-C  24 ; 26,78 
301339; VERMELHO MONO EXTENO DIA PAN-C ; 28,31 
301340; LARANJA MONO EXTERNO DIA PAN-C ; 28,96 
301341; MARROM LAM SAPECA(P4655)  16/37 ; 24,15 
301342; LILAS MONO LAM 512-C  175 ; 29,86 
301343; AZUL MONO EXTERNO 550-C ; 16,46 
301344; VERDE MONO EXTERNO 390-C ; 24,32 
301345; AZUL MONO LAM 532-C ; 24,81 
301346; ROSA MONO LAM 507-C  132 ; 19,58 
301347; AZUL MONO LAM 2945 COTRIJUI-C ; 24,44 
301348; LARANJA  LAM COTRIJUI-C (P152) ; 23,85 
301349; AZUL MONO LAM QUALITA-C ; 27,83 
301350; LARANJA LAM BRAIN(P021) ; 29,97 
301351; LILAS MONO LAM SHOW DOG-C  15/07 ; 29,57 
301352; CINZA MONO LAM PET CRIADOR-C ; 19,48 
301353; MARROM MONO LAM PÃO CENOURA-C ; 22,42 
301354; AZUL MONO EXTERNO PRESENCE-C ; 18,70 
301355; OURO MONO LAM SÃO PEDRO-C   147 ; 34,75 
301356; VERDE MONO LAM 7474-C  11/28 ; 23,80 
301357; AZUL MONO LAM 2685-C ; 36,60 
301358; VERMELHO LAM CHAPADO URBANO-C ; 30,51 
301359; VERMELHO LAM LOGO URBANO-C ; 30,09 
301360; MARROM LAM URBANO-C ; 28,19 
301361; LILAS MONO LAM 2645-C ; 21,41 
301362; LILAS MONO EXT 7664-C ; 29,19 
301363; AZUL LAM DANUBIO (P298) ; 23,66 
301364; LILAS MONO LAM SOCIL-C ; 24,49 
301365; VERMELHO MONO LAM CROC-C ; 22,99 
301366; LILAS MONO LAM 2577-C 242 ; 28,14 
301367; BORDO MONO LAM DO CÃO-C ; 26,44 
301368; LARANJA MONO LAM DO CÃO-C ; 29,75 
301369; LARANJA LAM 1485 TIPO 1-C ; 25,63 
301370; LARANJA MONO LAM CORADINI TIPO 1-C ; 31,68 
301371; VERMELHO MONO EXTERNO SUPRASAL-C ; 23,54 
301372; VERMELHO MONO LAM 7637-C  27/37 ; 23,83 
301373; VERMELHO MONO EXTERNO 7624-C ; 24,55 
301374; AZUL MONO LAM CHARRUA-C ; 29,07 
301375; AZUL MONO EXTERNO BIOLAC-C ; 26,80 
301376; LARANJA MONO LAM MONELLO-C ; 29,37 
301377; AZUL MONO LAM 305-C  3/26 ; 21,66 
301378; ROSA MONO EXTERNO CHAPADO 219-C ; 28,74 
301379; VERDE MONO LAM 7741-C ; 23,96 
301380; VERMELHO LAM GIRANDO SOL-C ; 23,88 
301381; CYAN LAM CROMIA 10% ; 21,79 
301382; CYAN LAM CROMIA 20% ; 22,22 
301383; CYAN LAM CROMIA 30% ; 23,62 
301384; CYAN LAM CROMIA 40% ; 24,54 
301385; CYAN LAM CROMIA 50% ; 25,45 
301386; MAGENTA LAM CROMIA 10% ; 21,69 
301387; MAGENTA LAM CROMIA 20% ; 22,50 
301388; MAGENTA MONO LAM CROMIA 30% ; 23,32 
301389; MAGENTA LAM CROMIA 40% ; 24,13 
301390; MAGENTA LAM CROMIA 50% ; 24,95 
301391; AMARELO LAM CROMIA 10% ; 19,31 
301392; AMARELO LAM CROMIA 20% ; 21,34 
301393; AMARELO LAM CROMIA 30% ; 19,22 
301394; AMARELO LAM CROMIA 40% ; 20,02 
301395; AMARELO LAM CROMIA 50% ; 19,13 
301396; VERMELHO  MONO LAM GUSTIM-C ; 27,56 
301397; AZUL LAM 541-C BIJU 192 ; 26,54 
301398; AZUL MONO LAM 2935-C BIJU 202 ; 23,98 
301399; AZUL MONO LAM 285-C BIJU 195 ; 25,27 
301400; CINZA MONO EXTERNO METAL 412-C ; 29,91 
301401; PRETO LAM CROMIA 10% ; 20,48 
301402; PRETO LAM CROMIA 20% ; 20,09 
301403; PRETO LAM CROMIA 30% ; 19,70 
301404; PRETO LAM CROMIA 40% ; 18,62 
301405; PRETO LAM CROMIA 50% ; 18,91 
301406; LILAS MONO LAM 5135-C ; 22,69 
301407; LILAS MONO LAM 7440-C  15/22 ; 21,43 
301408; AMARELO CROMIA LAM SOLIDEZ A LUZ ; 15,08 
301409; CYAN CROMIA LAM SOLIDEZ A LUZ ; 16,26 
301410; MAGENTA CROMIA LAM SOLIDEZ A LUZ ; 24,03 
301411; PRATA  877-C LAM SOLIDEZ A LUZ ; 13,51 
301412; PRETO CROMIA LAM  SOLIDEZ A LUZ ; 12,36 
301413; VERDE MONO EXT SAFRA-C ; 24,13 
301414; LILAS MONO EXTERNO METAL 268-C ; 28,07 
301415; MARROM MONO EXTERNO METAL 484-C ; 26,79 
301416; AZUL MONO EXTERNO METAL 2756-C ; 37,53 
301417; MAGENTA MONO CROMIA EXT 10% ; 17,36 
301418; MAGENTA MONO CROMIA EXT 20% ; 17,89 
301419; MAGENTA MONO CROMIA EXT 30% ; 18,42 
301420; MAGENTA MONO CROMIA EXT 40% ; 18,95 
301421; MAGENTA MONO CROMIA EXT 50% ; 19,48 
301422; PRETO MONO CROMIA EXT 10% ; 17,83 
301423; PRETO MONO CROMIA EXTERNO  20% ; 21,24 
301424; PRETO MONO CROMIA EXT 30% ; 19,83 
301426; PRETO MONO CROMIA EXT 50% ; 21,83 
301427; CYAN MONO CROMIA EXT 10% ; 17,50 
301428; CYAN MONO CROMIA EXT 20% ; 18,17 
301429; CYAN CROMIA EXTERNO 30% ; 19,60 
301430; CYAN MONO CROMIA EXT 40% ; 19,51 
301431; CYAN CROMIA EXTERNO 50% ; 20,18 
301432; AMARELO MONO CROMIA EXT 10% ; 17,82 
301433; AMARELO CROMIA EXT 20% ; 18,82 
301434; AMARELO CROMIA EXT 30% ; 19,81 
301435; AMARELO CROMIA EXT 40% ; 20,81 
301436; AMARELO CROMIA EXT 50% ; 22,68 
301437; VERDE MONO LAM FATHAL-C ; 24,60 
301438; AZUL MONO LAM FATHAL-C ; 28,31 
301439; CINZA LAM PE.TRANSP 2336-C  36 ; 23,09 
301440; OURO LAM PURO GRÃO-C  10/24 ; 28,41 
301441; VERMELHO LAM PURO GRÃO-C  6/6 ; 26,37 
301442; AZUL MONO LAM PURO GRÃO-C   3/7 ; 27,61 
301443; AMARELO MONO LAM ARCO VERDE-C 1/2 ; 25,71 
301444; VERMELHO LAM DIA%-C ; 24,81 
301445; LARANJA MONO LAM DIA% ; 27,60 
301446; VERDE MONO LAM BBS-C ; 25,16 
301447; AZUL MONO LAM BBS-C ; 33,53 
301448; VERDE MONO LAM 7740-C  121 ; 24,17 
301449; AZUL EXT LINHA DO CAMPO (AM) ; 21,03 
301450; VERDE MONO LAM 3252-C  9/05 ; 20,65 
301451; LARANJA LAM CHAPADO PET CRIADOR-C ; 29,17 
301452; LARANJA LAM TRAÇO PET CRIADOR-C ; 26,72 
301453; AZUL MONO EXTERNO DOURADÃO-C ; 34,66 
301454; AMARELO MONO EXTERNO 128-C ; 22,43 
301455; LARANJA MONO EXTERNO 1365-C ; 25,01 
301456; VIOLETA MONO EXTERNO-C ; 49,16 
301457; AZUL EXT ESCURO S.SOY-C ; 33,06 
301458; CINZA MONO LAM 429-C ; 19,23 
301459; AZUL MONO EXT SAFRA -C ; 22,81 
301460; AMARELO MONO CEREAL SAFRA-C ; 25,72 
301461; LARANJA MONO LAM CÃO-BATE-C ; 27,42 
301462; AZUL MONO LAM CÃO-BATE-C ; 26,08 
301463; LILAS MONO LAM FEST CAT MIX-C ; 27,75 
301464; LARANJA MONO LAM FEST CAT MIX-C ; 19,44 
301465; MARROM MONO EXT 7610-C ; 21,76 
301466; LARANJA MONO EXTERNO 1505 ITALIA-C ; 29,97 
301467; VERMELHO MONO EXTERNO 201 ITALIA-C ; 19,91 
301468; VERDE MONO EXTERNO 369 ITALIA-C ; 27,53 
301469; VERDE MONO EXTERNO 341 ITALIA-C ; 22,86 
301470; ROSA MONO EXTERNO NATURE-C ; 38,56 
301471; PRETO EXTERNO TRAÇO-C ; 23,39 
301472; AZUL MONO LAM 5255-C  8/34 ; 24,33 
301473;" CINZA MONO LAM 7545-C GUACIRA ""1"" "; 22,67 
301474; VERMELHO MONO LAM 7599-C ; 25,33 
301475; LARANJA LAM BAWWAW PET(152) ; 24,15 
301476; AZUL MONO LAM 287-C ''1'' ; 33,51 
301477; AMARELO MONO LAM 1215-C 114 ; 19,17 
301478; AMARELO MONO EXTERNO 109-C ''1'' ; 24,73 
301479; VERDE MONO EXTERNO SAL DIANA-C ; 21,94 
301480; OCRE EXTERNO SAL DIANA-C ; 24,03 
301481; CINZA LAM COOL GRAY 11-C  05/29 ; 20,34 
301482; VERDE RESISTÊNCIA QUÍMICA 346-C ; 25,80 
301483; ROSA RESISTÊNCIA QUÍMICA 213-C ; 31,10 
301484; AZUL RESISTÊNCIA QUÍMICA 298-C ; 24,11 
301486; BRANCO CEREAL HUBER ; 22,81 
301487; BRANCO LAMINAÇÃO PE ; 16,65 
301488; BRANCO S/DESLIZANTE LAMINAÇÃO ; 27,09 
301489;" LILAS MONO LAM 2607-C ""1"" "; 51,91 
301490; AMARELO MONO LAM 7406-C ''1'' ; 26,32 
301491; AMARELO MONO LAM 7406-C ''2'' ; 24,87 
301492; AMARELO MONO LAM 7406-C ''3'' ; 25,98 
301493;" AMARELO LAM 109-C ""2"" "; 25,37 
301494; AZUL LAM S/CALÇO 2184-C  3/4 ; 28,65 
301495;" VERDE MONO LAM 376-C ""1""  10/28 "; 24,22 
301496;" VERDE MONO LAM 3425-C ""1"" "; 20,01 
301497; AZUL MONO LAM 647-C  29/8 ; 25,28 
301498;" AZUL MONO LAM 281-C FIB'S ""1"" "; 41,00 
301499;" VERMELHO MONO EXTERNO 185-C ""1"" "; 27,64 
301500; VERDE MONO LAM 7473-C  28/24 ; 19,93 
301501; AMARELO MONO LAM SAFRA-C ; 21,95 
301502; VERDE RESISTÊNCIA QUÍMICA 344-C ; 23,14 
301503; VERDE RESISTÊNCIA QUÍMICA 348-C ; 32,05 
301504; CINZA MONO LAM 425-C  9/27 ; 20,98 
301505; LARANJA MONO EXTERNO 7563-C ; 23,93 
301506; AZUL MONO EXTERNO 301-C ; 17,36 
301507; VERMELHO LAM EXTREMO SUL (P185) ; 30,99 
301508;" AZUL MONO LAM 282-C ""1"" "; 26,40 
301509; AZUL LAM QUIDOG BABY-C ; 27,12 
301510; VERDE MONO LAM 5773-C  48 ; 20,86 
301511; OCRE MONO LAM 7512-C ; 27,29 
301512;" AZUL MONO LAM 282-C ""2"" "; 23,87 
301513;" VERDE MONO LAM 3425-C ""2"" "; 22,58 
301514;" VERDE MONO LAM 376-C ""2"" "; 21,82 
301515; OURO LAM PARBO NAMORADO-C   14/5 ; 35,33 
301516; OCRE MONO LAM 125-C ; 26,64 
301517;" AZUL MONO LAM 2758-C ""1"" "; 26,17 
301518; VERDE  LAM FLUFFY (P326)  109 ; 20,73 
301519; VERDE  LAM FLUFFY (P367) ; 20,67 
301520; VERMELHO LAM  FLUFFY (P1925) ; 26,06 
301521; CINZA MONO EXTERNO COOL GRAY 11-C ; 21,69 
301522; MARROM MONO LAM 7505-C ; 23,85 
301523; MARROM MONO LAM 1405-C ; 27,68 
301524; VERDE MONO LAM 316-C   2/9 ; 24,38 
301525;" AZUL MONO LAM 286-C ""1"" "; 28,53 
301526; VERMELHO EXTERNO BOB-C ; 20,12 
301527; VERDE MONO LAM 7742-C  112 ; 24,77 
301528; ROSA MONO EXT 5035-C ; 17,39 
301529; MARROM MONO EXTERNO 490-C ; 28,42 
301530; OCRE LAM TIO JOÃO(P7506) ; 20,05 
301531; AZUL CEREAL RET CARREFOUR -C ; 41,15 
301532; AZUL CEREAL CHAP CARREFOUR-C ; 33,79 
301533; VERDE MONO LAM 7476-C  11/01 ; 22,58 
301534; AMARELO MONO EXTERNO 1245-C ; 24,34 
301535; LILAS MONO LAM 668-C  15/02 ; 20,87 
301536; AMARELO MONO LAM 115-C 21/7 ; 22,77 
301537; AZUL MONO LAM 639-C ; 15,16 
301538; AMARELO CROMIA RESISTÊNCIA QUÍMICA ; 35,11 
301539; MAGENTA CROMIA RESISTÊNCIA QUÍMICA ; 32,00 
301540; CYAN CROMIA RESISTÊNCIA QUÍMICA ; 30,76 
301541; PRETO CROMIA RESISTÊNCIA QUÍMICA ; 31,99 
301542; VERDE RESISTÊNCIA QUÍMICA 355-C  INATVO ; 32,03 
301543; VERMELHO RESISTÊNCIA QUÍMICA 185-C ; 35,24 
301544; AMARELO MONO LAM 3965-C ; 28,30 
301545;" AZUL MONO LAM 307-C ""1"" "; 16,79 
301546; AZUL MONO EXTERNO KIMBERLY-C (P294) ; 22,42 
301547; VERMELHO LAM EMAMEX-C ; 24,60 
301548; AZUL MONO LAM EMAMEX-C ; 29,87 
301549; AZUL MONO EXTERNO 286-C ''1'' ; 25,55 
301550; AMARELO MONO EXTERNO 618-C ; 21,83 
301551; VERDE MONO EXTERNO 575-C ; 21,79 
301552; LILAS MONO LAM CROC CAT MIX-C  165 ; 24,82 
301553; CRODAMIDA PARA IMPRESSÃO ; 8,20 
301554; VERDE MONO LAM  340-C  119 ; 24,03 
301555; VERDE MONO LAM 3155-C 7/2 ; 25,86 
301556; LILAS MONO LAM 7677-C  152 ; 25,90 
301557; MARROM LAM P.BRANCO 7517-C  14/32 ; 25,50 
301558; ROSA MONO LAM 244-C ; 20,62 
301559; VERMELHO LAM 7626-C 75 ; 26,06 
301560; AMARELO LAM MASTER AVES-C ; 27,50 
301561; AMARELO MONO LAM 7548-C  22 ; 26,21 
301562; LILAS MONO LAM 2072-C ; 22,38 
301563; VERNIZ FOSCO HUBER EXTERNO ; 17,20 
301564; AZUL LAM TIO JOÃO-C   ; 28,49 
301565; AZUL MONO EXTERNO 287-C¨1¨ ; 24,74 
301566; AMARELO EXTERNO LINHA DO CAMPO(AM) ; 25,39 
301567; AMARELO MONO LAM KIARROZ-C ; 28,58 
301568; AMARELO EXT LINHA DO CAMPO CODORNA (AM) ; 20,16 
301569; AMARELO MONO EXT CORRIERI-C ; 28,07 
301570; VERDE MONO EXT 7737-C ; 25,87 
301571;" VERMELHO LAM 186-C ""1"" "; 26,16 
301572;" AZUL MONO LAM 280-C ""1"" "; 25,91 
301573;" AZUL MONO LAMINAÇÃO 2935-C ""1"" "; 25,89 
301574; AMARELO MONO LAM BOB-C ; 26,09 
301575; VERMELHO MONO LAM BOB-C ; 26,37 
301576; AZUL MONO LAM BOB-C ; 29,44 
301577; VERMELHO LAM CHAP.KIARROZ-C  78 ; 30,66 
301578; CINZA LAM COOL GRAY 3-C  115 ; 20,26 
301579; AZUL MONO LAM 7468-C ; 21,96 
301580; LILAS LAM 253-C ''1'' ; 24,92 
301581; ROSA MONO EXT 219 TEEN-C ; 25,58 
301582; VERDE MONO LAM 3272-C  ; 23,14 
301583; AZUL MONO LAM 7460-C ; 24,46 
301584; AZUL MONO LAM SEPÉ-C  1/40 ; 33,95 
301585; AZUL MONO LAM RETICULA QUALITÁ-C ; 24,09 
301586; AZUL MONO LAM LOGO QUALITA-C ; 22,82 
301587; LILAS RESISTÊNCIA QUÍMICA 2587-C ; 31,35 
301588; AMARELO MONO LAM 130-C  17/2 ; 27,90 
301589;" AZUL MONO LAM 540-C ""1"" "; 25,93 
301590; AZUL MONO LAM 7687-C 25/7 ; 28,32 
301591; LILAS MONO LAM 2612-C 8/20 ; 36,88 
301592; VERMELHO MONO LAM VERA-C  79 ; 27,76 
301593; LILAS MONO LAM KIARA-C  15/6 ; 42,23 
301594; LARANJA MONO LAM KIARA(AM)  71 ; 29,28 
301595; AMARELO MONO LAM KIARA-C   ; 27,00 
301596; VERMELHO LAM VERINHA (AM) ; 28,66 
301597; AZUL MONO LAM VERINHA (AM) ; 36,78 
301598; OURO MONO LAM VERINHA-C ; 31,95 
301599; MARROM MONO LAM 7568-C  ; 26,60 
301600; AZUL LAM P.BRANCO  284-C   ; 17,30 
301601; LILAS MONO EXTERNO 2075-C ; 30,02 
301602; AZUL LAM PE TRANSP 4146-C  3/33 ; 40,47 
301603; LILAS MONO LAM VAMIX-C ; 47,96 
301604; MARROM MONO LAM 175-C ; 25,34 
301605; AZUL MONO LAM SANDRILAC-C ; 38,71 
301606; ROSA MONO LAM 701-C ; 20,78 
301607; VINHO LAM PRINCESA(P1955) ; 28,74 
301608; AMARELO MONO LAM 7401-C   16/24 ; 22,97 
301609;" VERDE MONO LAM 348-C  ""1"" "; 26,62 
301610;" AZUL MONO LAM 286-C ""2"" "; 35,71 
301611; LARANJA LAM AVEIA BIJU-C ; 25,32 
301612; AZUL  CEREAL DO VALE-C ; 26,65 
301613; OURO CEREAL AUSTRALIANO-C ; 29,22 
301614; LILAS MONO EXTERNO 265-C ; 28,78 
301615; MARROM MONO LAM 471-C  28/6 ; 24,73 
301616; AZUL MONO LAM 7685-C 9/9 ; 26,58 
301617; VERMELHO MONO LAM 7425-C ; 24,15 
301618; VERMELHO MONO LAM D'ITALIA-C ; 25,35 
301619; AMARELO LAM PE TRANSP.7409-C  245  ; 25,66 
301620; MARROM LAM SAPECA(P477)  16/36 ; 32,90 
301621; OCRE MONO LAM 451-C ; 20,24 
301622; AZUL MONO LAM AMAMENTA  4/26 ; 24,72 
301623; VERMELHO LAM AMAMENTA-C ; 31,23 
301624; VERMELHO LAM P.BRANCO 180-C  22/7 ; 23,31 
301625; LARANJA MONO LAM 7414-C 8/35 ; 27,29 
301626; VERDE MONO LAM 7483-C  12/24 ; 25,17 
301627; LILAS MONO LAM 274-C  15/05 ; 40,85 
301628; AZUL EXTERNO 309-C ; 21,43 
301629; VERDE MONO LAM 5783-C ; 19,82 
301630; VERMELHO EXTERNO FARIAS(P186) ; 31,81 
301631; VERMELHO MONO LAM DIANA-C ; 30,33 
301632; VERDE EXTERNO 3308-C ; 21,93 
301633; LILAS EXTERNO 690-C ; 24,40 
301634; OURO LAM CATSY GOLD (871) ; 33,78 
301635; PRATA RESISTÊNCIA QÚIMICA 877-C ; 60,36 
301636; VERDE RESISTÊNCIA QUÍMICA 361-C(AM) ; 30,87 
301637; VERDE  RESISTÊNCIA QUÍMICA 2272-C(AM) ; 30,27 
301638; VERDE MONO LAM 2286-C ; 26,97 
301639; AZUL MONO LAM 306-C ; 25,99 
301640; ROSA MONO EXTERNO  224-C ; 21,89 
301641; VERDE MONO LAM 2270-C ; 28,43 
301642; VERMELHO LAM BOB DOG (P186) ; 27,06 
301643; VERMELHO MONO EXT 485-C SOLIDEZ A LUZ ; 28,11 
301644; AZUL MONO EXT 293-C SOLIDEZ A LUZ ; 20,26 
301645; ROSA EXTERNO 226-C ; 25,48 
301646; LILAS MONO EXT 2613-C ; 32,80 
301647; LILAS EXTERNO 254-C ; 59,18 
301648; OURO LAM MEU BIJU PARBO-C  213 ; 31,31 
301649; CINZA MONO LAM 436-C ; 19,96 
301650; AZUL MONO EXTERNO 286-C ''2'' ; 32,39 
301651; PRETO MONO EXTERNO SOLIDEZ A LUZ ;
301652; VERDE MONO EXT 3255-C ; 18,85 
301653; ROSA MONO LAM 214-C  5/27 ; 30,82 
301654; VERDE MONO LAM 548-C ; 23,19 
301655; AZUL MONO LAM 279-C ; 18,20 
301656; ROSA MONO EXTERNO 709-C ; 18,57 
301657; VERMELHO EXT HUGGIES-C ; 28,19 
301658; VERMELHO EXT CLASSY DOUBLE (P485) ; 33,15 
301659; OURO EXTERNO CLASSY DOUBLE (P871) ; 25,34 
301660; LARANJA MONO LAM BELEZA-C   6/3 ; 28,41 
301661; OURO MONO LAM BELEZA-C  14/6 ; 32,00 
301662; AZUL MONO EXT 646-C ; 17,27 
301663;" VERMELHO MONO LAM KIARROZ-C ""1"" "; 27,86 
301664; AZUL MONO LAM KIARROZ-C ; 30,27 
301665; VERDE MONO EXTERNO 7465 -C ; 19,28 
301666; MARROM LAM 483-C ''1'' ; 29,46 
301667;1;
301668; MARROM MONO LAM 7554-C ; 26,40 
301669; AZUL LAM NAMORADO (P286) LETRA  4/28 ; 22,68 
301670; OCRE MONO EXTERNO 7558-C ; 23,87 
301671; VERDE LAM LIDER CHIPS (P347) ; 23,41 
301672; VERDE MONO EXTERNO 346-C ; 19,19 
301673; AMARELO EXT 143-C ; 21,90 
301674; AZUL LAM RET.DIA% (P292) ; 24,56 
301675; LARANJA LAM FEIJÃO NAM (P1505) ; 29,11 
301676; LARANJA LAM FEIJÃO NAMORADO(P1665) ; 32,72 
301677; AZUL MONO LAM FEIJÃO NAMORADO-C (P286) ; 24,62 
301678; AZUL MONO LAM 2185-C  4/30 ; 24,19 
301679; ROSA MONO LAM 215-C ; 21,50 
301680; OCRE MONO LAM 7557-C  1 ; 23,15 
301681; VERMELHO RESISTÊNCIA MIGRAÇÃO VALE DO PARDO (P485) ; 93,41 
301682; AZUL LAM CHOCOPOWER (P287) ; 29,26 
301683; MARROM LAM AGROBELLA (P484)  171 ; 24,80 
301684; LARANJA LAM AGROBELLA(P166) ; 28,53 
301685; VERDE MONO LAM CLARO BASPAN (P367) ; 24,27 
301686; VERDE LAM ESCURO BASPAN(P348) ; 25,23 
301688; VERNIZ DE PROTEÇÃO CEREAL-C ; 22,72 
301689; LARANJA LAM BAWWAW-C PE (P152) ; 24,20 
301690; VERNIZ GL DE BRILHO  TSA 110-VZ079/DX ; 24,13 
301691; VERNIZ SOBRE IMPRESSÃO EFEITO MATE-450VZ110/DX ; 25,74 
301692; OCRE MONO EXTERNO 467-C ; 20,69 
301693; VERDE MONO EXTERNO 567-C ; 22,45 
301694; LARANJA MONO LAM SEEDCORN (P152) ; 28,66 
301695; AZUL LAM ANZOL DE OURO (P286)  2/25 ; 27,78 
301696; VERMELHO LAM ANZOL DE OURO(P187)  2/27 ; 27,80 
301697; MARROM LUX BRAYN (P174) ; 26,44 
301698; AZUL MONO LAM 7547-C 9/31 ; 25,09 
301699; VERDE MONO LAM QUINTIA(P346) ; 18,83 
301700; OURO LAM EXTREMO SUL-C ; 32,43 
301701; OURO EXTERNO HUGGIES (P871) ; 27,21 
301702; VERMELHO RES QUIMICA ESTERNO 186-C ; 29,47 
301703; AMARELO EXTERNO RES QUIMICA ; 30,58 
301704; BRANCO BOND STAR EXTERNO ; 20,32 
301706; BORDO EXTERNO 7421-C ; 19,87 
301707; LILAS MONO LAM 271-C ; 21,35 
301708; LILAS MONO LAM 7443-C ; 20,50 
301709; VERMELHO LAM BAWWAW (P200) ; 26,39 
301710; VERDE LAM BAWWAW-C (P348) ; 22,84 
301711; AZUL MONO EXTERNO SEVEN BOYS(P281) ; 31,69 
301712; VERDE MONO LAM BELEZA(P356)   10/02 ; 25,65 
301713; AZUL MONO LAM PEDRINHO(P2747) ; 37,14 
301714; SALMON MONO LAM 473-C 3/20 ; 22,38 
301715; LILAS EXTERNO FRALDA 2655-C ; 27,90 
301716; VERDE LAM AQUOS (P3262) ; 24,84 
301717; VERDE MONO LAM 2272- ; 27,23 
301718; LARANJA MONO EXTERNO 7590-C ; 20,58 
301719; AZUL MONO EXTERNO CHAPADO BIMBO-C (AM) ; 25,02 
301720; AZUL MONO EXTERNO LOGO BIMBO-C (REFLEX) ; 36,45 
301721; VERMELHO LAM BIJU (P187)  7/3 ; 28,78 
301722; VERDE LAM FEIJÃO MACASSAR (P369) ; 23,45 
301723; VERDE LAM FEIJÃO MACASSAR(367) ; 19,52 
301724; VERDE LAM FEIJÃO MACASSAR (P357) ; 24,87 
301725; LARANJA MONO EXTERNO HUGGIES(P1655) ; 31,86 
301726; AZUL LAM CASA BEM CHAPADO (P287) 27/9 ; 32,06 
301727; AZUL LAM RETICULA CASA BEM (P287) 270 ; 31,35 
301728; AMARELO MONO EXT HUGGIES (P137) ; 28,06 
301729; OCRE MONO LAM 105-C ; 22,03 
